Field code;Area;pH;DOC (mg C/l) 0.01MCaCl2;Cu (mg/kg) 0.01MCaCl2;Zn (mg/kg) 0.01MCaCl2;Cu2+ activity (log M);Cu (mg/kg) 0.43 M HNO3;Zn (mg/kg) 0.43 M HNO3;Depth;clay (%);SOM (%);CaCO3 (%);;
G6-T1;E;7,15;42,28;0,3;0,13;NA;64,91;237,23;1;33,5;10,89;NA;;
G6-T2;E;7,72;6,63;0,05;0,01;-10,26;13,22;44,01;2;17;8,74;4;;
G6-T3;E;7,71;5,59;0,06;0,02;-10,51;24,57;134,38;3;33,5;6,64;4;;
G6-T4;E;7,39;30,5;0,23;0,06;-10,51;49,89;171,51;1;17;11,07;2;;
G6-T5;E;7,72;6,79;0,05;0,03;-10,51;20,14;101,51;2;10;8,74;7;;
G6-T6;E;7,75;6,79;0,06;0,03;-10,51;21,35;110,37;3;10;10,06;8;;
G6-T7;E;7,29;29,78;0,2;0,11;-10,55;53,86;240,33;1;7,5;9,98;4;;
G6-T8;E;7,71;6,64;0,08;0,03;-10,55;27,97;125;2;7,5;7,73;7;;
G6-T9;E;7,75;3,48;0,04;0,02;-10,62;15,3;71,09;3;7,5;7,04;4;;
R6;E;7,21;36,8;0,55;0,59;NA;123,96;660,82;NA;;12,1;8;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
